CUST_NO,BALANCE
8878,500
9835,13500
8652,2500
6247,1500
3155,3000
1878,2000
4209,2000
911,1000
183,2000
1873,1000
2951,2500
5241,1500
8694,3000
6538,7000
1581,6000
5432,7000
4308,4500
2873,1000
7168,1000
2108,5500
5231,9000
4394,705500
6720,10000
9376,500
9911,1500
365,500
7096,1000
244,1500
1961,5000
2390,14500
3456,8500
6492,5000
6420,13500
5119,1000
2198,7500
9605,2500
4967,11000
6907,3000
1170,1500
8323,500
5648,3000
7230,6500
3435,8500
3748,6500
8007,2000
8078,72500
7526,2000
3595,500
7075,5500
7160,9000
5382,76500
3753,500
9780,1000
504,89500
54,4500
6886,2500
7946,3500
4269,2000
3999,3500
1811,7000
6579,2500
5114,1000
6648,6500
8286,3500
3759,32500
3732,37000
8572,9000
3773,1500
3091,1000
6674,3000
2450,2000
6429,1000
7568,38000
1898,3000
4688,1000
2250,2000
751,14000
4226,10000
8157,2000
5254,2500
449,49500
3763,5000
2169,5000
7967,11500
8387,40000
2563,143000
5226,7000
3659,6500
7863,15000
2594,48000
8155,10000
7916,44000
8634,2500
4277,500
3273,54500
6369,3000
3501,1500
9342,500
4791,20000
745,4000
6780,9000
8695,1000
2404,500
6671,1500
9324,1000
6200,10000
3721,1000
7135,36000
3860,1000
7985,7000
9623,5500
4919,3500
1754,1000
9024,500
2544,6500
7288,2000
474,1000
7791,3500
4453,2000
2075,7500
560,4000
4709,9000
8291,3500
7032,4500
633,7000
7865,2000
8850,6000
2474,500
6707,4500
3428,3500
980,7000
1296,16500
6203,1500
9699,1000
2514,60000
4112,19500
6784,2000
5357,500
6600,2500
6251,39000
8810,1000
3936,9000
1678,500
1023,5500
9276,9000
2219,12000
8043,47500
3277,14000
4630,11500
5111,1000
7179,4500
3240,8000
6341,3500
240,8500
9292,5000
7645,10000
9826,2000
9469,1000
2281,3000
5407,13000
4172,19500
600,2500
7134,1500
8231,4500
9770,12500
1747,4500
6266,5000
7759,25500
5248,8000
7326,8000
3737,1500
4841,10000
7015,4500
8152,17500
7677,500
9308,500
5011,7000
6526,1000
6941,5000
8435,16500
3241,21500
1020,20500
8410,6000
5307,9500
4572,3000
5103,9000
2866,8000
6075,5000
6811,500
4124,4500
6686,2000
5535,8000
519,500
8373,500
9664,7500
2603,3000
7700,5000
65,4000
7297,1000
5980,2500
6666,2000
2363,18500
2014,1500
2560,21000
7257,14000
6685,2000
5125,5500
2400,9500
9057,1500
1018,1000
9280,9000
8314,7500
6307,4500
9124,1000
1129,13000
1771,5500
7109,6000
712,3500
9406,1000
1741,4000
2331,500
9477,6500
4528,500
8259,3500
1138,3500
822,19000
9910,500
6690,500
5395,5000
8288,6000
2840,40000
696,3000
8517,195500
3736,10000
1631,500
5549,2000
9283,1000
2323,2000
922,3000
1350,3000
8105,1000
4776,500
544,10000
6961,3500
3286,500
7042,46000
2456,12500
425,4000
869,500
5913,1500
5531,14000
1460,1500
6849,4000
1377,1000
6310,500
8772,1000
2641,28000
7958,500
3679,500
4826,2500
7802,2000
7640,8500
1826,1000
6343,21000
4855,88500
4052,25500
5240,2500
4821,6000
5504,2500
349,1500
9447,4500
9486,2000
2064,9000
4795,1500
7558,66500
321,500
2441,1000
3342,4000
7006,5500
1899,500
6205,2500
8504,6500
5451,15000
3012,500
8662,3500
8218,1500
2693,17000
3508,10000
3552,4000
6388,3000
4320,1000
1639,52000
1800,7500
4571,2000
3322,17500
8136,5000
3051,73500
7599,6500
5328,2500
1268,1000
2199,1000
3904,13000
9425,8000
2079,1500
3527,15500
5715,3500
5904,4500
3373,1500
354,15500
5,2500
4253,1500
3943,10000
7156,3000
4120,2000
6017,29000
7142,3000
8011,4000
6313,1000
6770,500
2209,4000
6902,13000
4291,6000
9504,4000
6148,5500
8257,2000
6768,1000
437,147000
874,79500
9590,500
5541,5500
3461,1000
2065,1000
1529,500
6165,1000
4237,500
5283,71500
4424,500
369,8000
5403,78000
2685,4000
8847,2000
8129,7000
1620,8000
1564,32000
8436,500
5850,16500
9421,5000
4425,1500
6595,2500
6071,2500
8859,1000
792,8000
2362,6500
2870,1500
3069,8500
4354,3500
4118,9000
8892,1000
6508,4000
9792,4000
2718,2500
5005,22500
8817,2500
7416,13500
6357,1500
6399,13500
8391,2000
4309,500
4428,2000
6059,500
724,2000
5619,5000
1478,2500
3879,5000
9392,16000
6615,2500
527,11500
6240,1000
3304,2000
8510,1500
592,2000
734,5000
2533,5500
5746,2000
4158,37000
1661,2500
4875,49500
698,3500
6987,34000
8799,10000
4552,500
4986,33000
9244,3000
4610,1500
1522,500
7404,1000
933,6500
9152,5000
1549,10000
2781,500
7251,1500
5991,2500
8828,1000
2592,27000
2861,2000
1120,2000
1635,500
2477,3000
591,5500
1414,5000
4996,4000
