CUST_NO,EPOCH,TRANS_AMOUNT
8878,05/08/2014,1000
9835,25/03/2015,300
8652,13/04/2015,850
4,26/08/2014,950
937,11/06/2015,1400
1878,20/01/2015,350
4209,23/03/2015,1050
911,22/06/2015,1450
183,01/04/2015,550
1873,11/05/2015,1000
9064,15/04/2015,1650
5241,09/10/2015,1050
9995,18/05/2015,1000
6538,02/07/2015,1100
1581,11/07/2014,1050
5432,29/09/2014,2050
4308,07/08/2015,1000
2873,26/09/2014,2000
7168,03/03/2015,700
2108,11/09/2014,1550
5231,10/07/2014,250
4394,08/09/2015,1200
7518,07/07/2015,800
9376,16/12/2014,450
9911,02/12/2014,750
365,09/02/2015,1150
7096,18/12/2014,200
244,05/08/2014,1150
1961,03/10/2014,2200
5291,03/11/2014,1350
3456,05/10/2015,900
1616,30/06/2014,450
6420,28/07/2014,1800
5119,20/03/2015,200
2198,29/10/2015,850
9605,28/11/2014,1200
4967,28/10/2014,12000
6907,01/10/2015,700
5217,27/11/2014,1600
8323,15/10/2015,2100
5648,16/12/2014,500
7230,17/09/2014,1750
3435,17/09/2014,2850
3748,15/09/2014,1050
8007,22/12/2014,1650
8078,22/07/2015,150
7526,10/11/2014,1100
3595,03/11/2014,600
7075,04/08/2015,700
7160,26/01/2015,1300
5382,30/06/2014,500
3753,23/07/2014,1850
9780,29/10/2015,1350
504,26/03/2015,1200
54,07/04/2015,1100
6886,03/02/2015,500
7946,25/02/2015,800
4269,22/12/2014,650
3999,02/11/2015,450
1811,08/12/2014,600
6579,06/10/2014,850
5114,28/08/2015,1850
6648,18/11/2014,1150
8286,05/08/2015,3000
3759,30/12/2014,1850
3732,03/11/2014,2100
8572,16/07/2014,900
3773,05/06/2015,1150
3091,22/08/2014,3000
6674,04/06/2015,1850
8746,02/09/2014,650
6429,02/11/2015,700
7568,01/12/2014,1150
1898,13/08/2015,1100
8763,25/08/2014,1300
2250,26/08/2014,450
7313,28/07/2014,3850
2034,26/01/2015,750
8878,02/12/2014,950
9835,25/06/2015,300
8652,11/05/2015,850
4,27/07/2015,900
937,12/01/2015,1400
1878,20/03/2015,350
4209,21/07/2014,1150
911,27/04/2015,1450
183,01/09/2015,550
1873,09/12/2014,1050
9064,15/10/2015,1650
5241,09/06/2015,1050
9995,18/08/2015,1000
6538,02/07/2014,1100
1581,11/08/2014,1050
5432,28/01/2015,2050
4308,07/08/2014,1050
2873,27/04/2015,2000
7168,04/08/2015,700
2108,11/12/2014,1550
5231,10/11/2014,250
4394,08/04/2015,1200
7518,09/03/2015,850
9376,17/11/2014,450
9911,02/07/2015,700
365,08/06/2015,1150
7096,18/08/2014,200
244,05/02/2015,1150
1961,03/09/2015,2100
5291,02/06/2015,1350
3456,05/03/2015,950
1616,07/08/2014,1000
6420,28/08/2014,1800
5119,20/01/2015,200
2198,29/09/2015,850
9605,28/10/2014,1200
4967,28/09/2015,11900
6907,02/03/2015,700
5217,27/08/2014,1600
8323,12/01/2015,1100
5648,17/08/2015,500
7230,19/01/2015,1700
3435,17/08/2015,2800
3748,13/04/2015,1050
8007,20/08/2014,1650
8078,24/08/2015,150
7526,08/07/2014,1100
3595,02/07/2015,550
7075,02/09/2015,700
7160,24/07/2015,1200
5382,29/01/2015,500
3753,23/04/2015,1100
9780,29/07/2014,1400
504,26/08/2014,1200
54,05/08/2015,1100
6886,03/10/2014,500
7946,25/11/2014,800
4269,23/02/2015,650
3999,01/04/2015,450
1811,08/08/2014,600
6579,06/08/2015,800
5114,28/10/2014,2200
6648,18/09/2014,1150
8286,05/11/2014,3100
3759,29/07/2014,1850
3732,01/04/2015,2100
8572,16/09/2015,850
3773,05/10/2015,1150
3091,22/07/2014,850
6674,04/09/2015,1800
8746,02/03/2015,650
6429,02/02/2015,700
7568,01/09/2014,1150
1898,13/03/2015,1100
8763,23/02/2015,1300
2250,28/07/2014,450
7313,30/06/2014,2600
2034,28/07/2014,750
8878,02/11/2015,950
9835,26/01/2015,300
8652,11/08/2014,850
4,26/01/2015,900
937,11/02/2015,1400
1878,20/08/2014,350
4209,21/09/2015,1050
911,18/08/2014,1500
183,03/11/2014,550
1873,09/09/2015,1000
9064,15/07/2015,1650
5241,11/05/2015,1050
9995,18/07/2014,1000
6538,02/10/2014,1100
1581,13/10/2014,1050
5432,28/04/2015,2050
4308,08/09/2014,1050
2873,27/07/2015,2000
